ICP.Seq.No,Group,Sample,Type,Easting,Northing,Longitude,Latitude,Reserve,Zone3,pH,EC,Al,As,Ba,Ca,Cd,Ce,Cr,Cu,Fe,Gd,K,La,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn,Ca.lo.hi,Dist.Albert.m,Dist.Barrett.N.m,Dist.Barrett.Mid.m,Dist.Barrett.S.m,Dist.Bourke.m,Dist.Kayle.N.m,Dist.Kayle.S.m,Dist.Emmerson.E.m,Dist.Emmerson.W.m,Dist.Charles.m,Min.dist.street.m,Street50,Street20,pH.old,EC.µS.cm.log,Al.pow,As.pow,Ba.log,Ca.pow,Cd.log,Ce.log,Cr.pow,Cu.pow,Fe.pow,Gd.pow,K.log,La.log,Mg.log,Mn.pow,Mo.pow,Na.pow,Nd.pow,Ni.log,P.log,Pb.pow,S.pow,Sr.pow,Th.pow,V.pow,Y.pow,Zn.log
ENVT_AR_FA_16,7,4,Soil,391341,6466567,115.8505122,-31.93162116,Veryard,Veryard_E,6.62,159.8,4722,4.74,15.06,1110,0.1,8.32,10.79,5.73,3814,0.66,188.1,3.71,239.82,42.04,0.25,125,3.41,2.42,220.9,18.41,222.19,6.07,0.85,8.9,3.2,29.6,low.Ca,198.4,288.9,244.8,269,33.9,79,56.2,326.9,224.7,193.7,33.9,lt.50,gt.20,6.62,2.203576775,50.9329618,-0.462111062,1.177824972,-0.208188491,-1,0.920123326,2.305121541,0.332156066,-0.015822744,-1.231221827,2.274388796,0.56937391,2.379885399,3.419972898,-1.819068663,-0.168848945,1.743589659,0.383815366,2.344195716,-0.413100932,-0.098458947,-0.606487391,-1.088095134,-0.642596568,-0.674930893,1.471291711
ENVT_AR_FA_18,7,5,Soil,391333,6466584,115.8504295,-31.93146706,Veryard,Veryard_E,6.82,182.1,3752,3.04,18.99,1774,0.09,6,8.44,12.26,3540,1.06,301.1,2.42,341.7,46.56,0.25,182.2,2.35,2.87,350.9,19.07,337.18,11.07,NA,6.1,4.9,40,low.Ca,181.5,280.9,242.5,261,51,87,61.9,343.9,233,201.5,51,gt.50,gt.20,6.82,2.260309946,45.77227628,-0.576031741,1.278524965,-0.187449454,-1.045757491,0.77815125,2.114651638,0.205487782,-0.01642711,-0.971251905,2.478710756,0.383815366,2.533644979,3.536791567,-1.819068663,-0.14696502,1.472882002,0.457881897,2.545183368,-0.408708401,-0.082327947,-0.513402365,NA,-0.69362985,-0.584404734,1.602059991
ENVT_AR_FA_19,7,6,Soil,391389,6466589,115.8510224,-31.93142732,Veryard,Veryard_E,6.95,210.5,2686,4.05,20.77,1861,0.16,5.99,8.02,12.18,3177,0.49,297.9,2.24,374.32,30.51,0.23,120.2,2.1,2.22,350.8,32.54,341.18,8.88,NA,5.07,2.65,99.8,low.Ca,176.2,336.9,297.3,317,55.4,31,5.7,349,271.9,145.4,5.7,lt.50,lt.20,6.95,2.3232521,39.18886193,-0.499622011,1.317436497,-0.185451676,-0.795880017,0.777426822,2.077091463,0.206338864,-0.017345457,-1.429183002,2.474070503,0.350248018,2.573243032,3.077747889,-1.885724597,-0.1713023,1.399683311,0.346352974,2.545059585,-0.347521177,-0.081912475,-0.545764251,NA,-0.720073602,-0.719354384,1.999130541
ENVT_AR_FA_21,7,7,Soil,391412,6466596,115.8512665,-31.93136638,Veryard,Veryard_E,8.12,149.5,4263,4.91,41.67,28031,0.45,5.43,13.81,67.51,5617,0.65,241.1,2.82,741.07,39.76,0.27,179.1,0.43,4.6,244.7,130.06,201.08,95.25,2.07,10.57,1.96,247.8,high.Ca,169,359.9,321.3,340,62.2,8,18,356,291.7,122.3,8,lt.50,lt.20,8.12,2.174641193,48.56973607,-0.454103105,1.6198235,-0.10106912,-0.346787486,0.73479983,2.513749519,0.069989992,-0.013024144,-1.24066798,2.38219721,0.450249108,2.869859233,3.357823877,-1.759638272,-0.147897075,0.682162598,0.662757832,2.388633969,-0.228221929,-0.102767254,-0.282657647,-0.685256882,-0.62062552,-0.796558081,2.394101302
ENVT_AR_FA_8,8,1,Soil,391335,6466509,115.8504423,-31.93214375,Smiths,Smiths,7.15,48,2783,3.87,20.63,2416,0.17,7.66,9.22,12.96,3801,0.67,100.8,3.55,360.03,27.9,0.31,41.8,2.76,2.55,176.2,132.21,289.1,12.95,1.1,7.98,2.05,67.72,low.Ca,256.5,282.8,220.7,262.9,24,85,69.8,268.9,175.7,200.3,24,lt.50,gt.20,7.15,1.681241237,39.84013814,-0.511018462,1.314499228,-0.17492944,-0.769551079,0.88422877,2.181308172,0.198409012,-0.01584993,-1.221988036,2.003460532,0.550228353,2.55633869,2.988541028,-1.657785333,-0.252789283,1.584236431,0.40654018,2.246005904,-0.227089097,-0.087944841,-0.491549879,-0.951692178,-0.656938652,-0.784561866,1.830716949
ENVT_AR_FA_9,8,2,Soil,391361,6466544,115.8507212,-31.93183054,Veryard,Veryard_E,7.51,110,2896,2.37,10.39,11994,0.05,3.14,8.68,4.49,2174,0.36,81.1,1.2,653.07,10.33,0.15,147.5,0.05,0.93,126.9,33.93,193.16,80.66,1.32,5.67,1.27,23.47,high.Ca,221.3,308.9,256.5,289,10.7,59,39.5,303.9,219.3,173.9,10.7,lt.50,lt.20,7.51,2.041392685,40.58369728,-0.651759463,1.016615548,-0.122215938,-1.301029996,0.496929648,2.135572282,0.387442222,-0.020990651,-1.667688631,1.909020854,0.079181246,2.814959734,2.155448227,-2.267770036,-0.1588609,0.257260557,-0.031517051,2.103461622,-0.343137196,-0.104554209,-0.295994524,-0.865688888,-0.703963509,-0.922389483,1.37051309
ENVT_AR_FA_10,8,3,Soil,391382,6466515,115.8509401,-31.93209413,Smiths,Smiths,6.97,34.2,3127,4.69,15.58,1182,0.15,4.48,9.67,14.43,3816,0.42,109.3,1.79,262.37,28.44,0.32,68.3,1.37,3.46,182,73.7,186.58,16.54,0.6,7.48,1.4,158.47,low.Ca,250.2,329.8,267.2,309.9,18.5,38,22.5,275,209.7,153.2,18.5,lt.50,lt.20,6.97,1.534026106,42.05681825,-0.464548597,1.192567453,-0.205280742,-0.823908741,0.651278014,2.218110793,0.185396681,-0.015818573,-1.543836858,2.038620162,0.252853031,2.418914175,3.007443263,-1.635224063,-0.210959658,1.153351702,0.539076099,2.260071388,-0.271158746,-0.1061204,-0.45930387,-1.303918435,-0.665594473,-0.892501026,2.199947058
ENVT_AR_FA_12,8,4,Soil,391412,6466551,115.8512614,-31.93177228,Veryard,Veryard_E,7.84,110.3,3540,2.89,18.7,5768,0.08,4.43,9.59,12.92,3525,0.63,105.6,1.71,350.16,16.03,0.22,83.6,0.95,2.95,172.6,47.21,201.3,25.65,1.05,7.43,1.3,62.91,high.Ca,214,359.9,307.1,340,17.2,8,12,311,256.6,122.8,8,lt.50,lt.20,7.84,2.042575512,44.55197032,-0.590674987,1.271841607,-0.143973495,-1.096910013,0.646403726,2.211650577,0.198796607,-0.01646222,-1.260230891,2.023663918,0.23299611,2.544266534,2.490592268,-1.922252219,-0.195820974,0.977021989,0.469822016,2.237040791,-0.31040641,-0.102719056,-0.406686796,-0.974972035,-0.666498173,-0.915139175,1.798719685
ENVT_AR_FA_14,8,5,Soil,391323,6466483,115.8503124,-31.93237713,Smiths,Smiths,6.83,29.1,1010,0.9,6.42,1101,0.1,2.87,2.14,2.83,1205,0.29,67,1.5,139.86,11.5,0.07,27.8,0.91,1.66,48.2,13.76,92.47,5.86,NA,2.32,0.44,23.38,low.Ca,282.5,270.8,201.1,250.9,49.9,97,85.2,242.9,147.9,212.6,49.9,lt.50,gt.20,6.83,1.463892989,24.87755587,-1.053659509,0.807535028,-0.208568154,-1,0.457881897,1.306195778,0.518521163,-0.028240977,-1.858333099,1.826074803,0.176091259,2.145693524,2.232870416,-3.15105284,-0.293774366,0.958158946,0.220108088,1.683047038,-0.451262563,-0.143412046,-0.612437805,NA,-0.843454735,-1.319814804,1.368844507
ENVT_AR_FA_13,8,6,Soil,391323,6466464,115.8503103,-31.93254851,Smiths,Smiths,7.65,153.6,3852,5.14,22.45,17934,0.15,3.71,12.38,10.89,4509,0.43,158.8,2.34,699.16,42.1,0.27,170.8,0.41,2.32,420.4,52.51,375.28,103.06,1.06,10.09,1.67,96.5,high.Ca,301.5,270.8,195.1,250.9,68.9,97,87.7,223.9,133.1,212.8,68.9,gt.50,gt.20,7.65,2.186391216,46.33507229,-0.443906186,1.351216345,-0.111693281,-0.823908741,0.56937391,2.419102211,0.221450518,-0.014545493,-1.525758124,2.200850498,0.369215857,2.844576574,3.4215775,-1.759638272,-0.150505188,0.667595874,0.365487985,2.623662707,-0.300542952,-0.078632399,-0.276547734,-0.970182872,-0.626488087,-0.840856397,1.984527313
ENVT_AR_FB_32,9,29.1,Soil,391398.6,6466473,115.8511109,-31.93247456,Smiths,Smiths,6.11,NA,742,1.76,8.66,553,NA,3.33,2.11,4.36,1683,0.29,82.5,1.51,59.86,3.96,0.13,57.6,1.62,0.48,83.5,7.27,346.53,3.67,0.93,2.37,1.2,9.77,low.Ca,292.1,346.4,269.7,326.5,60.6,21.4,11.6,233,187.3,137.1,11.6,lt.50,lt.20,6.11,NA,21.55706615,-0.755442068,0.937517892,-0.243320172,NA,0.522444234,1.299737263,0.394696093,-0.023873984,-1.858333099,1.916453949,0.178976947,1.777136713,1.572468472,-2.412248523,-0.224626173,1.244377657,-0.318758763,1.921686475,-0.547676752,-0.081367539,-0.697297488,-1.038420153,-0.839824248,-0.940235704,0.989894564
ENVT_AR_FB_30,9,30.1,Soil,391302.1,6466411,115.8500833,-31.93302457,Smiths,Smiths,7.28,NA,396,1.46,27.48,283,NA,1.44,1.17,2.94,1270,NA,41.1,0.75,57.34,2.68,0.08,44.9,0.88,0.38,18.5,7.2,1292.76,2.4,0.51,1.28,0.59,15.92,low.Ca,354.6,249.9,158.5,229.9,121.7,117.9,115.4,170.8,78.6,234.3,78.6,gt.50,gt.20,7.28,NA,16.10234708,-0.828828256,1.439016728,-0.282676819,NA,0.158362492,1.056671651,0.50618682,-0.027504737,NA,1.613841822,-0.124938737,1.758457689,1.382972466,-2.97458485,-0.246213832,0.943712151,-0.420216403,1.267171728,-0.549287337,-0.046255014,-0.784453893,-1.418787304,-0.951286696,-1.195231472,1.201943063
NA,9,30.2,Soil,391315,6466432,115.8502221,-31.93283639,Smiths,Smiths,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333.6,262.8,177.4,242.8,100.8,105,99.8,191.8,103.1,221.2,99.8,gt.50,gt.20,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,31.1,Soil,391378.4,6466402,115.8508893,-31.93311306,Smiths,Smiths,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.2,326.2,228.1,306.2,131.4,41.6,41,161.9,119.3,158.1,41,lt.50,gt.20,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,31.2,Soil,391365.3,6466399,115.8507504,-31.93313886,Smiths,Smiths,6.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.3,313,214.7,293.1,134.3,54.8,54.4,158.9,108.7,171.3,54.4,gt.50,gt.20,6.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,32.1,Soil,391402.1,6466393,115.851139,-31.93319651,Smiths,Smiths,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.1,349.8,247.7,329.9,140.7,18,18.7,153,127,134.5,18,lt.50,lt.20,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,32.2,Soil,391399.1,6466430,115.8511114,-31.93286248,Smiths,Smiths,6.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.1,346.9,256.6,326.9,103.6,20.9,16.8,190,154,137.1,16.8,lt.50,lt.20,6.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENVT_AR_FB_19,10,33.1,Soil,391305,6466411,115.8501139,-31.93302485,Smiths,Smiths,6.86,75.4,1807,3.13,25.5,1519,0.19,2.31,4.27,10.58,2477,0.29,112.5,1.3,207.83,51.35,0.28,77.9,0.4,3.19,146.7,48.2,188.58,8.38,0.63,3.96,0.79,65.78,low.Ca,354.6,252.8,161.3,232.8,121.7,115,112.5,170.8,80.4,231.4,80.4,gt.50,gt.20,6.86,1.877371346,32.59738469,-0.567754329,1.40654018,-0.194074006,-0.721246399,0.36361198,1.66472778,0.225525251,-0.019657759,-1.858333099,2.051152522,0.113943352,2.317708238,3.652554908,-1.73223414,-0.200982202,0.660166661,0.503790683,2.166430114,-0.308457422,-0.105636104,-0.554605834,-1.27128401,-0.75698324,-1.082934135,1.818093869
ENVT_AR_FB_20,10,34.1,Soil,391359,6466365,115.85068,-31.93344494,Smiths,Smiths,7.46,41.2,4109,2.56,6.37,1336,NA,9.14,8.12,3.52,2952,0.53,112.3,2.64,128.21,42.52,0.35,69.7,2.49,3.46,224.3,3.88,102.79,7.56,1.71,7.35,1.35,8.58,low.Ca,400.3,306.7,198,286.7,168.3,61.1,65.1,124.9,78.2,178,61.1,gt.50,gt.20,7.46,1.614897216,47.74652964,-0.627295473,0.804139432,-0.199730558,NA,0.960946196,2.086148029,0.451796155,-0.017998052,-1.374128983,2.050379756,0.421603927,2.1079219,3.432766963,-1.573186577,-0.209388605,1.512020029,0.539076099,2.350829274,-0.662658192,-0.137048119,-0.570671135,-0.756760614,-0.667959408,-0.903539589,0.933487288
ENVT_AR_FB_21,10,34.2,Soil,391352,6466375,115.850607,-31.93335407,Smiths,Smiths,7.56,90.6,2433,3.26,19.99,30472,0.17,2.5,8.45,21.9,3539,0.43,117.2,1.56,1471.33,26.38,0.27,244.7,NA,8.07,296.2,39.47,387.19,186.17,1.64,6.55,1.09,164.01,high.Ca,390.4,299.7,194.5,279.7,158.2,68.1,70.7,134.9,81.7,184.8,68.1,gt.50,gt.20,7.56,1.957128198,37.42843117,-0.556407209,1.300812794,-0.099198011,-0.769551079,0.397940009,2.115530985,0.142467599,-0.016429443,-1.525758124,2.068927612,0.193124598,3.16771009,2.933980877,-1.759638272,-0.131833944,NA,0.906873535,2.471585054,-0.327742625,-0.077585497,-0.234722132,-0.773372314,-0.683713862,-0.971292072,2.214870329
ENVT_AR_FB_17,10,35.1,Soil,391399,6466355,115.8511019,-31.93353897,Smiths,Smiths,7.44,152.6,2623,5.86,21.13,5024,0.12,3.67,10.76,18.43,4341,0.62,198,1.68,484,43.07,0.6,113.9,0.88,5.39,595.8,38.05,422.08,21.13,1.19,7.16,1.56,106.99,high.Ca,410.1,346.7,232.7,326.7,178.6,21.1,26.8,115,95.4,138.1,21.1,lt.50,gt.20,7.44,2.183554534,38.75910016,-0.415954659,1.324899497,-0.148492696,-0.920818754,0.564666064,2.302869291,0.158860443,-0.014825859,-1.270365586,2.29666519,0.225309282,2.684845362,3.447308223,-1.246665441,-0.174733695,0.943712151,0.731588765,2.775100499,-0.331407521,-0.074766257,-0.429146297,-0.913594242,-0.671507852,-0.860446527,2.029343188
ENVT_AR_FB_16,10,35.2,Soil,391387,6466365,115.8509761,-31.93344762,Smiths,Smiths,7.59,195.8,3600,2.73,10.95,5778,0.06,6.54,6.36,3.81,2453,0.42,202.9,1.84,461.8,84.17,0.3,158.3,1.11,1.31,171.2,3.23,279.07,38.39,1.2,5.51,0.92,18.15,high.Ca,400.2,334.7,224.5,314.7,168.5,33.1,37.3,125,95.7,150,33.1,lt.50,gt.20,7.59,2.291812687,44.90122006,-0.607602722,1.039414119,-0.143917692,-1.22184875,0.815577748,1.914669386,0.429769309,-0.019754228,-1.543836858,2.307282047,0.264817823,2.664453929,4.297186918,-1.681413254,-0.154778713,1.048432256,0.117271296,2.23350376,-0.70057887,-0.08928717,-0.363660656,-0.909631189,-0.708051801,-1.028583881,1.258876629
ENVT_AR_FB_22,10,36.1,Soil,391366,6466311,115.8507479,-31.9339327,Smiths,Smiths,7.52,83,2654,2.07,9.54,1900,NA,5.72,5.35,5.72,2013,0.29,137.9,1.7,223.28,76.55,0.33,76.2,1.27,0.96,383.5,3.98,193.5,10.35,0.94,4.75,0.71,18.43,low.Ca,454.3,313.7,187.5,293.6,222.3,54.1,65.3,70.9,40.4,171.6,40.4,lt.50,gt.20,7.52,1.919078092,38.97125276,-0.697023004,0.979548375,-0.184592879,NA,0.757396029,1.801876465,0.332522566,-0.021818624,-1.858333099,2.139564266,0.230448921,2.348849823,4.165139722,-1.613650153,-0.202622556,1.114407038,-0.017728767,2.583765368,-0.657560153,-0.104475357,-0.523066662,-1.03266648,-0.729633697,-1.122728322,1.265525335
ENVT_AR_FB_11,11,36B,Soil,391384,6466338,115.8509414,-31.93369088,Smiths,Smiths,7.19,569,3667,2.36,12.07,2264,NA,7.59,7.35,7.67,2545,0.47,162.6,2.25,201.17,77.79,0.36,80,1.48,1.48,386.3,4.93,183.79,12.95,1.07,5.73,1.04,15,low.Ca,427.2,331.7,213.1,311.7,195.5,36.1,43.9,98,72.8,153.3,36.1,lt.50,gt.20,7.19,2.755112266,45.28755232,-0.653128079,1.08170727,-0.177491948,NA,0.880241776,2.014436049,0.276304574,-0.019391892,-1.459310853,2.211120541,0.352182518,2.303563216,4.187210829,-1.554174721,-0.199022258,1.194435244,0.170261715,2.586924708,-0.616198959,-0.106808524,-0.491549879,-0.965461872,-0.702466018,-0.986830881,1.176091259
ENVT_AR_FB_8,11,37A,Soil,391381,6466300,115.8509054,-31.93403336,Smiths,Smiths,8.61,438,2625,2.73,7.26,21945,NA,4.38,7.49,2.13,2039,0.3,102,2.35,308.65,65.28,0.12,72.1,0.24,0.47,60.1,4.44,42.96,43.24,2.12,4.89,1.21,5.59,high.Ca,465.2,328.7,198.3,308.6,233.5,39.1,51.9,60,41.2,156.7,39.1,lt.50,gt.20,8.61,2.641474111,38.7728278,-0.607602722,0.860936621,-0.106760131,NA,0.641474111,2.027825435,0.620410135,-0.02167829,-1.827061221,2.008600172,0.371067862,2.489466281,3.952584743,-2.49703928,-0.206793388,0.523735165,-0.327902142,1.778874472,-0.636091026,-0.199257844,-0.351859191,-0.676812733,-0.725358689,-0.937602043,0.747411808
ENVT_AR_FB_9,11,38A,Soil,391367,6466285,115.8507556,-31.93416732,Smiths,Smiths,7.81,538,2602,1.54,11.38,26570,0.05,2,5.61,6.83,2507,0.33,176,1.7,1303.25,60.2,0.13,253.2,NA,0.81,241.5,17.74,249.77,179.42,1.9,6.98,0.84,22.58,high.Ca,480.3,314.7,180.2,294.6,248.3,53.1,67.7,44.9,20.8,170.9,20.8,lt.50,gt.20,7.81,2.730782276,38.61462023,-0.807181074,1.056142262,-0.102287172,-1.301029996,0.301029996,1.832149298,0.297297947,-0.019539129,-1.741934905,2.245512668,0.230448921,3.115027734,3.848657694,-2.412248523,-0.130185907,NA,-0.091514981,2.382917135,-0.417775125,-0.093638667,-0.237138251,-0.716452668,-0.67497556,-1.060702522,1.353723938
ENVT_AR_FB_10,11,39A,Soil,391390,6466250,115.8509949,-31.93448522,Smiths,Smiths,7.93,275,2782,4.23,16.42,7759,0.02,3.44,8.1,5.05,3358,0.28,104.4,1.63,340.49,22.5,0.22,75.7,0.47,1.54,166.6,25.89,170.74,38.41,1.48,7.11,1.3,43.68,high.Ca,515.2,337.6,191,317.5,283.5,30.1,49.6,10,7.8,148.3,7.8,lt.50,lt.20,7.93,2.439332694,39.83348651,-0.488959112,1.215373153,-0.13472912,-1.698970004,0.536558443,2.08434253,0.359732662,-0.016868895,-1.891266324,2.018700499,0.212187604,2.532104361,2.784407726,-1.922252219,-0.20311457,0.710223027,0.187520721,2.221674997,-0.372489832,-0.110237198,-0.363608137,-0.815734892,-0.672460501,-0.915139175,1.64028263
